,Unnamed: 0,word,pictogram_id,synset,word_senses,
1145,1145,pumpkin,2679,12158443-n,pumpkin%1:20:00::,
1149,1149,sugar candy,2686,07598734-n,hard_candy%1:13:00::,
1157,1157,sugar candy,2686,07609215-n,sugar_candy%1:13:00::,
1161,1161,wallet,2689,04548362-n,wallet%1:06:00::,
1163,1163,postman,2690,10283037-n,postman%1:18:00::,
1166,1166,hairbrush,2695,03475581-n,hairbrush%1:06:00::,
1171,1171,brain,2696,05481095-n,brain%1:08:00::,
1172,1172,shampoo,2699,04183516-n,shampoo%1:06:00::,
1174,1174,vest,2698,04531873-n,vest%1:06:01::,
1191,1191,cement,2692,14804175-n,cement%1:27:00::,
1192,1192,cement,2692,14804958-n,hydraulic_cement%1:27:00::,
1202,1202,gum,2709,14702875-n,glue%1:27:00::,
1204,1204,elbow,2707,05579944-n,elbow%1:08:00::,
1205,1205,cabbage,2708,07713895-n,cabbage%1:13:00::,
1206,1206,cabbage,2708,07714571-n,head_cabbage%1:13:00::,
1214,1214,heart,2715,05388805-n,heart%1:08:00::,
1216,1216,numerate,2714,00947857-v,count%2:32:01::,
1218,1218,numerate,2714,00948071-v,count%2:32:00::,
1222,1222,necktie,2716,04591157-n,windsor_tie%1:06:00::,
1224,1224,chorus,2717,08188638-n,choir%1:14:00::,
1226,1226,chorus,2717,08187837-n,chorus%1:14:00::,
1228,1228,comet,2711,09251407-n,comet%1:17:00::,
1232,1232,stitch,2722,01329239-v,stitch%2:35:00::,
1234,1234,slide fastener,2723,04238321-n,zipper%1:06:00::,
1238,1238,wastebin,2724,02747177-n,garbage_can%1:06:00::,
1242,1242,wastebin,2724,02839910-n,bin%1:06:00::,
1246,1246,nail clippers,2721,03044934-n,clipper%1:06:00::,
1248,1248,razor blade,2726,04057047-n,razor%1:06:00::,
1250,1250,razor blade,2726,04127521-n,safety_razor%1:06:00::,
1252,1252,cavern,2729,09238926-n,cave%1:17:00::,
1254,1254,cavern,2729,09239302-n,cavern%1:17:00::,
1266,1266,ass,2730,05559256-n,ass%1:08:00::,
1284,1284,desert,2734,08505573-n,desert%1:15:00::,
1285,1285,deodorant,2735,03176594-n,deodorant%1:06:00::,
1286,1286,seahorse,2672,01456756-n,seahorse%1:05:00::,
1288,1288,flat tip screwdriver,2736,04154565-n,screwdriver%1:06:00::,
1290,1290,flat tip screwdriver,2736,03361683-n,flat_tip_screwdriver%1:06:00::,
1292,1292,funnel,2741,03403643-n,funnel%1:06:01::,
1293,1293,golden,2739,00369941-s,golden%5:00:00:chromatic:00,
1294,1294,gilded,2739,00369941-s,gold%5:00:00:chromatic:00,
1296,1296,stepladder,2743,04315599-n,step_ladder%1:06:00::,
1300,1300,hook,2744,03532672-n,claw%1:06:00::,
1312,1312,sponge bath,2749,00258403-n,sponge_bath%1:04:00::,
1313,1313,shaving foam,2750,04186268-n,shaving_foam%1:06:00::,
1319,1319,nail polish,2747,03284886-n,enamel%1:06:01::,
1325,1325,cigar store,2751,04443257-n,tobacco_shop%1:06:00::,
1329,1329,celestial body,2752,09444783-n,star%1:17:01::,
1336,1336,carol,2778,07035747-n,carol%1:10:00::,
1337,1337,carol,2778,00546613-n,carol%1:04:00::,
1346,1346,nail,2783,05581693-n,nail%1:08:00::,
1350,1350,stomach,2786,05555917-n,belly%1:08:02::,
1351,1351,belly,2786,05556943-n,belly%1:08:00::,
1353,1353,stomach,2786,05556943-n,stomach%1:08:01::,
1356,1356,stomach,2786,05556071-n,tummy%1:08:01::,
1357,1357,toast,2787,07686873-n,toast%1:13:00::,
1362,1362,keyboard,2793,03614007-n,keyboard%1:06:01::,
1363,1363,tongs,2790,04450749-n,tongs%1:06:00::,
1380,1380,postage stamp,2802,06796119-n,stamp%1:10:01::,
1398,1398,pink,2807,00379595-s,pink%5:00:00:chromatic:00,
1402,1402,saw,2799,03488188-n,handsaw%1:06:00::,
1403,1403,red,2808,00381097-s,red%5:00:01:chromatic:00,
1404,1404,paint roller,2809,03877229-n,paint_roller%1:06:00::,
1408,1408,mag,2813,06595351-n,mag%1:10:00::,
1411,1411,dustpan,2818,03259009-n,dustpan%1:06:00::,
1415,1415,watering pot,2817,04560292-n,watering_can%1:06:00::,
1417,1417,knee,2810,05573602-n,knee%1:08:00::,
1425,1425,stormy,2814,00303727-a,stormy%3:00:00::,
1428,1428,municipality,2823,08672738-n,village%1:15:00::,
1431,1431,municipality,2823,08665504-n,town%1:15:00::,
1434,1434,municipality,2823,08672199-n,township%1:15:00::,
1437,1437,municipality,2823,08626283-n,municipality%1:15:00::,
1439,1439,silvery,2827,00387392-s,silver%5:00:00:achromatic:00,
1452,1452,firearm,2831,03948459-n,pistol%1:06:00::,
1455,1455,firearm,2831,03343853-n,firearm%1:06:00::,
1457,1457,lollipop,2832,07607605-n,lollipop%1:13:00::,
1461,1461,house painter,2835,10189179-n,house_painter%1:18:00::,
1468,1468,paintbrush,2837,03876231-n,paintbrush%1:06:00::,
1482,1482,skin,2840,05238282-n,skin%1:08:00::,
1483,1483,pickaxe,2842,03929202-n,pick%1:06:00::,
1485,1485,swordfish,2843,02629716-n,swordfish%1:05:00::,
1495,1495,bell pepper,2839,07822518-n,cayenne%1:13:00::,
1498,1498,bell pepper,2839,07720442-n,pepper%1:13:02::,
1501,1501,bell pepper,2839,07720615-n,sweet_pepper%1:13:00::,
1504,1504,bell pepper,2839,07720875-n,bell_pepper%1:13:00::,
1507,1507,bell pepper,2839,07721118-n,globe_pepper%1:13:00::,
1508,1508,cucumber,2847,07718472-n,cucumber%1:13:00::,
1513,1513,newspaper,2845,06267145-n,newspaper%1:10:00::,
1514,1514,newspaper,2845,03822171-n,newspaper%1:06:00::,
1522,1522,pastilles,2855,07607967-n,cough_drop%1:13:00::,
1532,1532,wall,2860,04546855-n,wall%1:06:00::,
1553,1553,brick trowel,2866,04489817-n,trowel%1:06:00::,
1555,1555,brick trowel,2866,02898269-n,brick_trowel%1:06:00::,
1557,1557,brick trowel,2866,03975657-n,pointing_trowel%1:06:00::,
1558,1558,rat,2821,02331046-n,rat%1:05:00::,
1560,1560,polar bear,2868,02134084-n,ice_bear%1:05:00::,
1562,1562,panda,2869,02510455-n,panda%1:05:01::,
1563,1563,orchestra,2870,08248157-n,orchestra%1:14:00::,
1565,1565,bellybutton,2873,05556595-n,bellybutton%1:08:00::,
1566,1566,ear,2871,05323889-n,auricle%1:08:02::,
1586,1586,walnut,2880,07771212-n,walnut%1:13:00::,
1587,1587,cloud,2883,09247410-n,cloud%1:17:00::,
1590,1590,snowy,2884,02798267-a,snow-capped%3:01:00::,
1593,1593,snowy,2884,01697592-s,snow-clad%5:00:00:covered:00,
1596,1596,scruff,2881,05547396-n,scruff%1:08:00::,
1603,1603,hazy,2885,00461609-s,brumous%5:00:00:cloudy:00,
1604,1604,black,2886,00392812-a,black%3:00:01::,
1605,1605,orange,2888,00378892-s,orange%5:00:00:chromatic:00,
1615,1615,nose,2887,05598147-n,nose%1:08:00::,
1617,1617,biceps,2891,05289297-n,muscle%1:08:00::,
1621,1621,bat,2903,02139199-n,bat%1:05:00::,
1622,1622,purple,2907,00380312-s,purple%5:00:00:chromatic:00,
1625,1625,blackberries,2906,07744811-n,blackberry%1:13:00::,
1632,1632,wrist,2904,05584928-n,wrist%1:08:00::,
1633,1633,honey,2911,07858978-n,honey%1:13:00::,
1635,1635,mic,2912,03759954-n,microphone%1:06:00::,
1638,1638,carpenter's ruler,2915,02967081-n,carpenter's_rule%1:06:00::,
1640,1640,tape measure,2914,04392113-n,tape%1:06:03::,
1649,1649,clawhammer,2922,02966545-n,carpenter's_hammer%1:06:00::,
1650,1650,jellyfish,2920,01910747-n,jellyfish%1:05:00::,
1651,1651,brown,2923,00372111-s,brown%5:00:00:chromatic:00,
1654,1654,cheektooth,2905,05307773-n,molar%1:08:00::,
1658,1658,ladybug,2924,02165456-n,ladybug%1:05:00::,
1659,1659,ladybird,2924,02165456-n,ladybird%1:05:00::,
1661,1661,ocean,2925,09426788-n,sea%1:17:00::,
1669,1669,hosepipe,2929,03539875-n,hose%1:06:01::,
1675,1675,Moon,2933,11484975-n,moonlight%1:19:00::,
1677,1677,wrench,2937,03782794-n,monkey-wrench%1:06:00::,
1679,1679,showery,2936,02550333-s,showery%5:00:00:wet:01,
1683,1683,lavender,2940,00376917-s,lavender%5:00:00:chromatic:00,
1684,1684,spanner,2938,04606574-n,wrench%1:06:00::,
1686,1686,earthworm,2935,01935395-n,earthworm%1:05:00::,
1691,1691,leopard,2942,02128385-n,leopard%1:05:00::,
1694,1694,lobster,2947,01982650-n,lobster%1:05:00::,
1696,1696,barn owl,2945,01625562-n,barn_owl%1:05:00::,
1699,1699,wool,2948,15104217-n,wool%1:27:00::,
1702,1702,lizard,2949,01693334-n,green_lizard%1:05:00::,
1703,1703,wall lizard,2950,01674464-n,lizard%1:05:00::,
1704,1704,koala,2954,01882714-n,koala%1:05:00::,
1706,1706,knot,2946,02880308-n,bow%1:06:04::,
1711,1711,hair spray,2952,03476991-n,hair_spray%1:06:00::,
1714,1714,hair spray,2952,03631811-n,lacquer%1:06:00::,
1725,1725,kiwi fruit,2955,07763629-n,kiwi%1:13:00::,
1742,1742,islet,2966,09319456-n,isle%1:17:00::,
1756,1756,ink-jet printer,2970,03571942-n,ink-jet_printer%1:06:00::,
1760,1760,ink-jet printer,2970,04004475-n,printer%1:06:00::,
1762,1762,ink-jet printer,2970,03874823-n,page_printer%1:06:00::,
1764,1764,ink-jet printer,2970,02909285-n,bubble_jet_printer%1:06:00::,
1765,1765,safety pin,2971,04127249-n,safety_pin%1:06:00::,
1766,1766,intestine,2967,05534333-n,intestine%1:08:00::,
1767,1767,bowel,2967,05534333-n,bowel%1:08:00::,
1768,1768,hairpin,2975,03476313-n,hairpin%1:06:00::,
1769,1769,shoulder,2977,05548840-n,shoulder%1:08:00::,
1771,1771,concrete mixer,2976,03087069-n,concrete_mixer%1:06:00::,
1773,1773,wild boar,2965,02396427-n,wild_boar%1:05:00::,
1775,1775,vegetable garden,2974,08439808-n,garden%1:14:00::,
1777,1777,reap hook,2973,04213353-n,sickle%1:06:00::,
1782,1782,fig,2979,07753113-n,fig%1:13:00::,
1783,1783,liver,2980,05385534-n,liver%1:08:00::,
1806,1806,surgical spirit,2984,14708720-n,alcohol%1:27:00::,
1809,1809,surgical spirit,2984,04116919-n,rubbing_alcohol%1:06:00::,
1812,1812,surgical spirit,2984,15065280-n,surgical_spirit%1:27:00::,
1815,1815,air stewardess,2990,10655875-n,stewardess%1:18:00::,
1816,1816,chin,2991,05599617-n,chin%1:08:00::,
1818,1818,lip rouge,2992,03676483-n,lipstick%1:06:00::,
1821,1821,smoked bacon,2994,07670433-n,bacon%1:13:00::,
1822,1822,apricot,2983,07750872-n,apricot%1:13:00::,
1825,1825,screw down,2987,01352996-v,screw%2:35:02::,
1831,1831,hazelnut,2988,07752377-n,dried_fruit%1:13:00::,
1832,1832,rainbow,2986,09403427-n,rainbow%1:17:00::,
1833,1833,vulture,2998,01616318-n,vulture%1:05:00::,
1845,1845,scuba diver,2999,10607291-n,skin-diver%1:18:00::,
1849,1849,whitener,2997,14779205-n,bleaching_agent%1:27:00::,
1850,1850,chameleon,3003,01693783-n,chameleon%1:05:00::,
1854,1854,hip,3000,05556325-n,hip%1:08:00::,
1857,1857,capsule,3006,02957586-n,capsule%1:06:00::,
1859,1859,canary bird,3004,01533339-n,canary%1:05:00::,
1872,1872,wicker basket,3012,04582349-n,wicker_basket%1:06:00::,
1873,1873,stork,3015,02002075-n,stork%1:05:00::,
1874,1874,stork,3015,02002556-n,white_stork%1:05:00::,
1878,1878,sparkling wine,3009,07893642-n,champagne%1:13:00::,
1886,1886,langouste,3014,01984695-n,spiny_lobster%1:05:00::,
1894,1894,blusher,3017,04112752-n,rouge%1:06:00::,
1895,1895,eyebrow,3011,05313535-n,eyebrow%1:08:00::,
1955,1955,alphabet,3050,05872742-n,rudiment%1:09:00::,
1957,1957,alphabet,3050,06497459-n,alphabet%1:10:00::,
1961,1961,holly tree,3052,12756457-n,holly%1:20:00::,
1963,1963,fir,3051,11620673-n,fir%1:20:00::,
1965,1965,fir,3051,11620560-n,abies%1:20:00::,
1968,1968,chess game,3054,00503237-n,chess%1:04:00::,
1981,1981,single-propeller plane,3059,04012084-n,propeller_plane%1:06:00::,
1984,1984,single-propeller plane,3059,04222723-n,single_prop%1:06:00::,
1989,1989,baptize,3064,01037819-n,baptism%1:04:00::,
1992,1992,baptize,3064,01028079-v,baptize%2:32:00::,
2001,2001,mayoral office,3060,04461437-n,town_hall%1:06:00::,
2004,2004,mayoral office,3060,03036022-n,city_hall%1:06:00::,
2014,2014,diver,3068,10565667-n,scuba_diver%1:18:00::,
2018,2018,cactus plant,3070,11842204-n,cactus%1:20:00::,
2021,2021,football field,3073,,football field,
2022,2022,football pitch,3073,,football pitch,
2032,2032,clove pink,3080,11808468-n,carnation%1:20:00::,
2035,2035,almanac,3071,15173479-n,calendar%1:28:00::,
2041,2041,almanac,3071,06426279-n,almanac%1:10:00::,
2044,2044,almanac,3071,06426468-n,annual%1:10:00::,
2046,2046,biker,3078,09986189-n,bicyclist%1:18:00::,
2048,2048,sport car,3081,04285008-n,sports_car%1:06:00::,
2056,2056,cypress,3079,11630489-n,cypress%1:20:01::,
2058,2058,cypress,3079,11632619-n,italian_cypress%1:20:00::,
2069,2069,darts,3090,00504209-n,darts%1:04:00::,
2070,2070,dice game,3089,03191029-n,die%1:06:00::,
2072,2072,Mother's Day,3091,15189249-n,mother's_day%1:28:00::,
2087,2087,Father's Day,3093,15189982-n,father's_day%1:28:00::,
2097,2097,dominos,3095,00499477-n,dominoes%1:04:00::,
2127,2127,gymnast,3107,10153594-n,gymnast%1:18:00::,
2130,2130,grass,3113,07801091-n,pasture%1:13:00::,
2143,2143,hail,3110,11465530-n,hail%1:19:00::,
2157,2157,lemon tree,3122,12711596-n,lemon_tree%1:20:00::,
2160,2160,rain,3123,11501381-n,rain%1:19:00::,
2161,2161,rainfall,3123,11501381-n,rainfall%1:19:00::,
2167,2167,pot,3126,03991062-n,flowerpot%1:06:00::,
2171,2171,ray flower,3127,11939491-n,daisy%1:20:00::,
2173,2173,ray flower,3127,11674603-n,ray_flower%1:20:00::,
